OBJECTID,CSA2010,resrehab10,resrehab11,resrehab12,resrehab13,resrehab14,resrehab15,resrehab16,resrehab17,resrehab18,resrehab19,resrehab20,CSA2020,resrehab21,Shape__Area,Shape__Length
42,Orangeville/East Highlandtown,1.48,1.71,1.07586206896552,3.53103448275862,2.46978455070941,1.73410404624277,2.88386593920498,4.24943424691978,7.46794065878803,8.57354028085735,6.547469151,Greektown/Bayview,7.252581214,89894372.2113037,47825.8629266244
43,Patterson Park North & East,4.87,4.98,4.85925459977984,7.11704634721131,4.87690136427787,6.24117923788615,5.85014860003128,8.17826426896012,7.80297107114934,7.35869735400031,7.475317348,Patterson Park North & East,5.265632346,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,3.8,2.52,3.65771812080537,4.15967796041597,1.97721179624665,4.12198391420912,2.82485875706214,4.65735196274118,5.28942115768463,6.42690642690642,5.876460768,Penn North/Reservoir Hill,6.444073456,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,1.71,1.49,1.7258883248731,1.50012712941775,1.35376756066411,1.45593869731801,1.75212574078845,2.55352076347691,2.32138251225174,3.38422391857506,5.933952528,Pimlico/Arlington/Hilltop,4.669762642,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,2.63,8.25,2.55661066471877,3.28707085463842,1.68745414526779,2.20102714600147,2.27439471753484,4.68521229868228,4.02635431918009,5.6934306569343,5.375552283,Poppleton/The Terraces/Hollins Market,4.415011038,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,1.63,0.95,1.20263591433278,1.13786279683377,1.0070992240383,0.990589400693413,1.11184865582475,1.42454861686268,2.30246811330131,2.85237698081734,3.27540107,Sandtown-Winchester/Harlem Park,3.760026738,23672092.8682861,20987.1433066354
48,South Baltimore,5.99,5.44,7.26141078838174,7.26356359324044,5.49158547387068,6.25922645408916,5.66531086577571,10.8045309323264,7.37728724949172,6.19418035148372,6.157420854,South Baltimore,5.750798722,46353935.4255981,68440.02582664
49,Southeastern,2.01,2.25,1.20879120879121,1.69213973799127,1.31075914800655,1.74767886400874,2.93000542593597,2.78688524590163,2.29508196721311,2.81473899692937,2.165674066,Southeastern,2.652950731,111251478.472229,102291.480547698
50,Southern Park Heights,2.23,1.59,1.64752870693959,2.00050012503126,1.35440180586907,1.37948332079258,1.91424196018376,2.73517382413087,3.1441717791411,4.0960809102402,5.321336761,Southern Park Heights,5.835475578,27876227.5908203,24052.221372193
51,Southwest Baltimore,1.65,1.45,1.33706089704631,1.43604721917975,0.848279205041202,0.969461948618517,0.995870779693951,1.54257257378841,1.80978987003522,2.05388425758124,2.925822508,Southwest Baltimore,3.44785723,37766068.8365479,28355.563581391
52,The Waverlies,2.38,2.01,2.37918215613383,2.30483271375465,2.78810408921933,2.41635687732342,2.19575735020468,4.28305400372439,5.13966480446927,6.44092749355907,6.696595585,The Waverlies,6.095736724,20383750.5437012,18733.826879757
53,Upton/Druid Heights,5,2.13,2.41523455643288,3.52504638218924,1.47942672214517,2.54276467868701,3.30344502123643,5.11363636363636,7.8125,7.05607476635514,7.363977486,Upton/Druid Heights,7.739212008,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,3.96,2.97,3.33333333333333,4.63936208771294,2.52070579762333,2.73676629456248,4.40274269216889,5.92271578187071,4.0808956301914,7.29092208720514,6.632837985,Pigtown/Carroll Park,3.407031533,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,1.77,1.17,0.843881856540084,1.17150890346767,0.513778608127043,1.07426436244745,1.91231343283582,3.3115671641791,1.67910447761194,1.64158686730506,1.952580195,Westport/Mount Winans/Lakeland,1.720130172,45494092.9501953,42573.1244161851
